Person,File,Transcription,Pauses
Mireille Darc,MireilleDarc_3.wav," C 'était  la  première  scène  du  film.  C 'était  avec  mon  amant,  soi -disant. (pause for 1.2s)  Donc  j 'étais  là,  j 'étais  nue, (pause for 1.1s)  en  train  de  parler  avec  soi -disant  mon  amant. (pause for 0.8s)  Et  il  me  dit,  écoutez,  j 'ai  réfléchi  finalement,  pour  vous  mettre  un  slip,  un  soutien  gorge. (pause for 0.5s)  Je  dis,  monsieur,  je  suis  désolé,  j 'en  ai  pas. (pause for 0.9s)  Je  viens  pas  avec  un  slip,  un  soutien  gorge.  Un  jour,  je  dois  tourner  nus. (pause for 0.5s)  Les  marques  restent  pendant  une  journée. (pause for 0.7s)  Les  marques  n 'ont  soutien  gorge  et  d 'un  slip. (pause for 0.6s)  Donc  c 'est  lui  qui  est  ennuyé  parce  que  du  coup,  il  faut  qu 'on  trouve  un  slip,  un  soutien  gorge.  On  perd  la  moitié  de  la  primidie  pour  trouver  un  slip,  un  soutien  gorge  dans  Paris. (pause for 2.2s)  Mais  ça  lui  revenait  dans  la  figure,  parce  qu 'avant,  il  avait  essayé  de  me  faire  un  peu  peur,  en  me  disant,  que  ça  sera  votre  premier  jour  de  tourner.  Je  suis  désolé.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Mireille Darc,MireilleDarc_2.wav," Oui,  parce  qu 'en  ce  moment,  j 'en  faisais  très  peu, (pause for 1.3s)  mais  j 'ai  beaucoup  appris  en  étant  photographié  moi -même  en  posant  des  questions  et  comme  j 'ai  eu  la  chance  d 'avoir  de  très  bons  photographes  qui  m 'ont  photographié, (pause for 1.0s)  j 'ai  essayé  de  comprendre  un  objectif,  un  appareil,  une  lumière,  ça  a  commencé  à  m 'intéresser.","(pause, (pause"
Bernie Sanders,BernieSanders_3.wav," deal  with  the  crises  facing  this  country. (pause for 1.0s)  We  have  massive  income  and  wealth  inequality,  half  our  people  live  on  paycheck  to  paycheck,  we've  got  to  raise  the  minimum  wage  to  a  living  wage,  we've  got  to  do  that. (pause for 0.6s)  We  have  an  infrastructure  that  is  collapsing, (pause for 0.6s)  we  have  got  to  address  the  existential  threat  of  climate  change,  and  when  you  do  that  truck,  when  you  make  those  investments,  we  create  millions  of  good  paying  jobs. (pause for 0.6s)  We  have,  we  are  the  only  major  country  not  to  guarantee  health  care  to  all  people  as  a  right,  the  only  major  country  not  to  have  paid  family  and  medical  leave,  we  pay  the  highest  prices  in  the  world  for  prescription  drugs,  hundreds  of  thousands  of  kids  can't  afford  to  go  to  college  and  millions  leave  school  deeply  in  debt. (pause for 0.5s)  Well,  you  know  what,  you  got  to  address  those  issues.  Meanwhile,  you  got  two  people  on  top  going  more  wealth  in  the  bottom,  40 %  of  America.  You  got  major  corporation,  after  major  corporation,  not  paying  one  vehicle  in  federal  income  tax,  Warren  Buffett,  one  of  the  richest  guys  in  the  world,  reminds  us  that  the  effective  tax  rate  for  working  families  is  higher  than  it  is  for  the  billionaire  class.  So  in  terms  of  pay  for,  yeah,  I  do  think  we  need  progressive  taxation,  which  says  to  the  body  under  that  should  pay  more  taxes,  but  yes,  the  very  rich  and  large  corporations  should  stop  paying  their  fair  share  of  taxes  to  help  us  rebuild  America.","(pause, (pause, (pause, (pause, (pause"
Nick Nolte,NickNolte_3.wav," absolutely  did  nothing. (pause for 0.5s)  It  was  a  terrible  strip. (pause for 0.5s)  So  I  called  Waller  money  and  I  said,  well  hey,  you're  really  serious  about  doing  this.  He  said,  yeah,  I'm  real  serious  about  it.  I'm  going  to  start  rewriting  now  and  I  want  you  to  go  meet  Eddie  Murphy.  So  I  flew  to  New  York  and  I  got  48  straight.  My  little  black  sack  of  sass  phone  plate  there.  Then  I  got  up  to  his  apartment  and  in  those  days  there  was  a  white  pottery  substance  running  around  that  was  abused  badly  and  I  sat  in  that  apartment  for  three  days  and  I  said  to  him,  finally,  hey  man,  I  got  to  get  over  and  meet  this  guy  at  sat  in  that  life.  He  said,  the  black  sack,  I  said,  yeah,  he  said,  oh,  you  can't  use  him.  He's  a  bass  freak. (pause for 0.5s)  You  can't  go  near  him.  And  I  said,  oh,  that  case,  I'll  go  home  and  I  went  back  and  I  told  Waller  that  Eddie  Murphy  was  a  bass  freak  and  he  said,  Eddie  Murphy. (pause for 0.6s)  I  said,  yeah,  he  said,  you  didn't  meet  him,  did  you? (pause for 3.0s)  That's  the  last  time  I'm  sending  you  out  and  then  I  had  met  Eddie  when  he  came  to  California (pause for 0.7s)  and  I  saw  him,  you  know, (pause for 0.6s)  he  was  18, (pause for 1.1s)  you  know,  and  very  young. (pause for 0.8s)  He  didn't  go  near.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Nick Nolte,NickNolte_2.wav," Okay,  I'll  tell  it  quickly. (pause for 1.9s)  I  had  a  friend  staying  with  me  from  England,  Matt  Trollman's,  and  he  knows  musicians.  And  Olivier  was  interviewing  musicians  in  London, (pause for 0.6s)  real  musicians.  And  this  musician  sent  us  the  screenplay  email. (pause for 1.5s)  And  Matt  read  it  and  he  came  to  me  and  he  said,  this  is  really  good  scrap.  Alan  Bates  has  a  role, (pause for 0.8s)  and  so  we  called  the  casting  director  and  said,  you  know, (pause for 0.6s)  we  told  the  musician  he  definitely  should  go  see  Olivier,  it  says, (pause for 0.5s)  he's  a  great  director.  And  then  we  called  the  casting  director  and  said,  listen  if  there's  any  more  of  this  type  of  material  and  directors,  please  let  us  know. (pause for 1.0s)  And  she  said,  okay,  and  you  know,  two  weeks  later,  she  called  and  said,  you're  playing  all  black  and  then  Olivier  called  and  said,  well,  we  have  to  go  in  three  weeks. (pause for 0.9s)  So  I  went  up  to  Canada  real  quick  and  talked  to  both  builders  up  there. (pause for 1.2s)  And,  you  know,  I  don't  try  to  do  Canadian  accent,  you  know,  but  I  didn't  know  what  the  spirit  of  the  country  is  about. (pause for 1.0s)  And  then  there's  a  piece  there,  but  I  think  I...","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Nick Nolte,NickNolte_1.wav," No,  I  had  always  kind  of  said  to  myself  that  I  would  never  play  a  cop  because  he  had  been  done  so  much  and  everybody  had  played  a  cop  and  I  just  didn't  see  any  reason  too.  And  I  had  always  considered  myself  a  little  bit  on  the  other  side  of  the  law,  not  a  criminal  or  anything.  But  driving  down  the  freeway,  I  just  thought  they  were  after  me, (pause for 1.1s)  like  we  all  do. (pause for 2.1s)  So  I  went  up  to  San  Francisco  to  research  detectives  and  kind  of  man  the  R  to  clear  my  own  stereotypes, (pause for 0.5s)  stereotype  viewpoint  of  police  officers  and  what  they  really  up  to  and  what  they  do. (pause for 1.4s)  And  I  was  able  to  do  that  and  I  found  a  man  of  great  integrity  and  men  that  are  really  committed  to  a  certain  function  in  society  of  the  protector,  you  know.","(pause, (pause, (pause, (pause"
Yoko Ono,YokoOno_3.wav," Well,  I  don't  mean,  see,  that's  another  thing.  Most  people  think,  oh,  well,  I  haven't  done  any  exercise,  so  I  have  to  give  up.  Don't  give  up. (pause for 0.5s)  I  mean,  any  time  when  you  start  doing  it,  it  works,  you  know.  I  mean,  your  body  is  really  a  very  sensitive  and  powerful  thing. (pause for 0.9s)  And  I,  I  just,  you  know,  most  people  think  that,  oh,  she  must  be  doing  exercise  every  day  or  something.  No,  I  just  forget  and  do  some  work  or  something.  And  it's,  oh,  I  better  do  some  exercise.  I  mean,  just,","(pause, (pause"
Yoko Ono,YokoOno_2.wav," did  anybody,  you  know, (pause for 0.5s)  but  he  was  a  very  upfront,  extremely  kind  of  open  to  people.  I  think  that  sometimes  you  have  to  pay  a  high  price  for  it,  and  he  did  it.  He  just  gambled  on  it,  I  think.",(pause
Yoko Ono,YokoOno_1.wav," That  we  were  very  much  together,  even  physically,  I  think  we  were  together  24  hours  a  day, (pause for 1.3s)  unlike  most  couples  where  they  had  to  go  out  to  work  separately,  or  maybe  just  a  husband  going  out  to  work  or  whatever. (pause for 0.5s)  But  it  wasn't  like  that,  we  were  always  together. (pause for 1.1s)  So  we  really  exchanged,  opened  ourselves  to  each  other  and  exchanged  very  fully. (pause for 1.0s)  So,  in  test...","(pause, (pause, (pause, (pause"
Kirk Douglas,Kirk Douglas_1.wav," You  know, (pause for 0.6s)  after  I  graduated  from  St.  Lawrence  University,  Dick,  I  was  working,  I  was  going  to  the  American  Academy  of  Dramatic  Arts,  studying  to  be  an  actor, (pause for 0.5s)  and  I  was  working  as  a  waiter  in  Trap's  restaurant.  Now,  remember  one  night, (pause for 0.7s)  I  had  my  pocket  full  of  tips,  and  I  was  walking  down  Central  Park,  I'd  had  a  few  beers, (pause for 0.8s)  and  a  few  of  the  other  waiters,  all  would  be  actors  walking  down,  and  I  pointed  up  to  the  Hampshire  House,  and  I  said,  one  of  these  days,  I  said,  I'm  going  to  come  back  to  this  town,  and  I'm  going  to  take  a  suite  on  the  25th  floor,  and  I'm  going  to  look  down  at  this  park,  and  it  was  wonderful  having  this  dream. (pause for 0.8s)  And  sure  enough,  in  B -story  fashion, (pause for 0.8s)  years  later  I  did  a  picture  champion,  I  came  back  to  New  York,  and  I  took  a  suite  on  the  25th  floor, (pause for 0.7s)  and  I  looked  down  at  Central  Park,  and  very  honestly,  I  was  rather  sad, (pause for 0.7s)  and  I  felt  as  if  I  think  what  happens  is,  when  a  dream  is  fulfilled,  it  leaves  with  a  certain  amount  of  sadness,  so  I  think  that  you  always  have  to  have  another  dream  quickly  to  replace  the","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Kirk Douglas,Kirk Douglas_3.wav," When  you  play  a  cameo,  I  said,  no,  it's  just  really, (pause for 0.5s)  it  takes  place  before  the  title. (pause for 0.9s)  So  I  read  the  first  five  praises,  and  I  said,  I  will  play  it,  because  I  played  a  dying  father, (pause for 0.8s)  and  he  is  my  son,  but  he  is  a  gangster. (pause for 0.7s)  So  he  comes  in,  and  I  keep  slapping  in  the  face,  and  I  tell  you,  I  said  a  wonderful  time  slapping  too.","(pause, (pause, (pause, (pause"
Kirk Douglas,Kirk Douglas_2.wav," being  a  kid,  I  try  to  be  sensible  because  lots  of  times  you  get  hurt  doing  something  very  simple. (pause for 1.7s)  So  I  don't  know,  a  lot  of  times  the  most  dangerous  thing  comes  out  of  something  that  you  think  is  the  simplest  thing.  Sometimes  it  comes  out  of  a  special  effect  where  a  bullet  going  into  the  wood  where  the  splinters  as  supposed  to  go  out  that  way  and  suddenly  they  hit  you  in  the  face. (pause for 0.6s)  But  I've  had  a  broken  nose,  broken  fingers,  that  broke  a  rib. (pause for 3.0s)  I've  tried  to  be  sensible,  although  I  can't  resist  seeing  if  I  can't  do  the  stunt. (pause for 1.1s)  And  also  I  think  it  gives  more  reality,  you  know,  or  usually  audiences  are  so  well  trained  in  watching  movies  that  they  see  a  long  shot  and  they  see  a  close  shot,  heaving  hero  and  they  know  that  someone  else  is  a  stunt. (pause for 0.6s)  I  just  finished  the  picture  before  Saturn  III  that  I'm  doing  now.  I  just  finished  the  picture  in  the  states  called  the  villain,  which  is  an  out  and  out  farce. (pause for 0.6s)  And  it's  directed  by  Hal  Needham,  who  used  to  be  a  stunt  man  with  me  years  ago. (pause for 0.5s)  And  I  really  enjoyed  that  because  the  whole  picture  is  filled  with  stunts  and  it  was  really...","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Terry Riley,TerryRiley_3.wav," What's  important  today  is  make  a  lot  of  money  on  a  lot  of  objects. (pause for 2.1s)  I  saw  this  happening  around  the  1980s.  I  was  teaching  at  Mills  College  in  California  teaching  music  classes  and  students  who  before  who  were  dropping  out  of  school  and  you  know  just  experimenting  with  drugs,  experimenting  with  music  with  different  lifestyles  started  coming  back  to  college  and  taking  business  classes  so  it  was  it  was  an  interesting  time  to  go  from  this  thing  of  wearing  suits  then  going  into  long  hair,  wearing  relaxed  clothing,  living  together  in  communities  to  going  back  to  college  to  get  a  business  degree  to  make  more  money  to  get  more  things  and  we  haven't  actually  been  able  to  to  leave  that. (pause for 7.7s)  I  think  make  these  cycles  go  you  know  from  one  like  the  kind  of  world  we  had  in  the  60s  to  the  kind  of  world  we  have  today  so  I'm  sure  that  we'll  come  out  of  this  and  I'm  hoping  that  there'll  be  an  age  of  enlightenment  that  will  come  because  we  have  the  possibilities  with  technology  to  even  improve  our  knowledge  improve  but  we  always  have  to  keep  this  part.","(pause, (pause"
Terry Riley,TerryRiley_2.wav," Jim  Newman,  who  had  the  Delexi  Gallery  in  those  days,  had  this  idea  to  create  a  bunch  of  video  works  using,  and  he  was  in  cooperation  with  KQED. (pause for 1.6s)  He  asked  a  bunch  of  different  artists  to  produce  half -hour  shows, (pause for 0.9s)  including  people  like  Walter  D.  Maria, (pause for 1.1s)  also  did  some  of  these  programs. (pause for 2.2s)  And  so  at  the  time  I  was  just  thinking  of  coming  back  to  California,  moving  back  to  California, (pause for 0.6s)  and  I  came  out  and  contacted  Arlo  Acton,  who  was  a  sculptor  who  I  had  known (pause for 1.4s)  years  before, (pause for 0.7s)  and  Arlo  had  been  making  these  highly  polished,  spherical  balls  made  out  of  titanium  when  he  was  getting  from  NASA,  and  he  was  swinging  them  from  pendulums  and  from  the  ceiling, (pause for 1.2s)  and  we  had  this  idea  to  build  loudspeakers  also  out  of  spheres  and  to  surround  the  audience  with  these  kind  of  swinging  spheres. (pause for 1.1s)  So  when  Jim  Newman  came  to  me  with  this  idea  about  the  video,  I  thought  this  would  be  a  natural  place  to  incorporate  this  whole  idea  of  swinging  speakers  that  highly  polished  titanium  spheres,  and  then  I  would  play  music  live  through  it  at  the  same  time. (pause for 1.3s)  So  we  went  into  a  studio  down  at  KQED  and  did  the  concert  part  of  it.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
James Brolin,JamesBrolin_1.wav," Texas  has  got  it  bigger  and  better, (pause for 0.7s)  that's  something  really  that  is  generally  built  into  the  whole  male  psyche  in  Texas  and  the  females  seem  to  follow  right  along  with  it  and  endorse  it.  And  that  kind  of  positive  thinking  is  terrific.  It's  got  a  lot  done  in  a  very  flat,  plain  kind  of  land.  Look  what's  been  made  out  of  it,  you  know.  And  I  was  talking  to  somebody  this  morning  about,  or  somebody  from  Dallas  as  a  matter  of  fact. (pause for 2.3s)  And  I  said  to  them,  I  always  wondered  what  happened  to  Jack  Rink. (pause for 0.7s)  You  remember  from  Giant?  And  I  would  love  to  make  that  picture  about  downtown  Dallas  and  whatever  happened  to  that,  that  guy  that  was  drilling  their  well  himself  and  then  became,  now  he's  on  the...","(pause, (pause, (pause"
James Brolin,JamesBrolin_3.wav," So  then  he  came  down  to  stay  with  me  for  a  summer  down  in  Los  Angeles  and  said,  hey, (pause for 0.6s)  like,  where  would  I  go  study  or  something,  you  know? (pause for 0.8s)  And  it  all  happened  very  quick.  He  went  out  on  a  couple  of  interviews.","(pause, (pause"
Kenny Rogers,KennyRogers_1.wav," I  may  look  foolish  but  I  feel  great,  I  just  want  to  say  there's  a  book  called  Passages  that  deals  with  crisis  moments  in  everyone's  life  and  a  crisis  moment  is  defined  as  something  that  once  it  happens  your  life  will  never  be  the  same  and (pause for 0.6s)  God  knows  I've  had  my  share  of  those,  I  may  have  another  one  right  here  as  a (pause for 1.7s)  but  feels  awfully  warm  down  the  back  of  my  neck,  you  know?","(pause, (pause"
Kenny Rogers,KennyRogers_3.wav," You  may  have  heard  this  morning  on  the  Today  Show  that  I  am  going  to  retire  and  I'm  starting (pause for 1.4s)  what  everyone  calls  a  farewell  tour. (pause for 0.7s)  I've  had  an  incredible  career,  more  than  I  ever  dreamed (pause for 0.7s)  and  thanks  to  you  guys  who've  supported  me  all  these  years. (pause for 0.5s)  I  wanted  you  to  hear  it  for  me, (pause for 0.8s)  you  know,  and  not  many  people  would  get  to  see  the  end  of  the  rainbow. (pause for 0.9s)  And  I  think  I  have.  I  think  I've  had  the  beauty  of  this  career  and  the  beauty  of  getting  to  know  you  guys  daily  out  on  the  road  and  watching  you  grow,  kids  grow  up  with  me  and  doing  my  Christmas  tour  every  year. (pause for 0.8s)  And  as  hard  as  it  is  to  leave, (pause for 0.6s)  I  will  tell  you  this, (pause for 0.7s)  younger  and  earlier  in  my  career  and  in  my  book  I  wrote, (pause for 1.2s)  there's  a  fine  line  between  being  selfish  and  being  driven. (pause for 1.2s)  And  I  think  I  crossed  that  line  a  lot  when  I  was  younger  and  I  didn't  get  a  chance  to  spend  a  lot  of  time  with  my  older  boys. (pause for 0.9s)  And  I  regret  that  now  and  I've  decided  that  my  goal  now  is  to  stay  home  and  help  Wanda  raise  Justin  and  Jordan  and  be  as  much  of  an  influence  on  them (pause for 1.1s)  as  my  mother  and  father  were  on  me  because  that's  what  parents  are  for. (pause for 0.7s)  And  I  wanted  you  to  hear  it  for  me. (pause for 0.7s)  I  love  all  of  you. (pause for 0.7s)  I  love  the  way  you've","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Jerry Lewis,JerryLewis2.wav," Yeah,  she  walked  about  40  feet  with  me. (pause for 0.9s)  She  just  couldn't  believe  it.  You  are  really,  and  I  want  her  to  know  there's  a  truck  right  there  with  camera  and  crew, (pause for 0.7s)  and  I  couldn't  get  it  out. (pause for 0.8s)  I  don't  believe  that  you're,  are  you  telling  me  that  you're  him,  and  I'm  walking? (pause for 1.1s)  And  she  went  some  40  feet  with  me,  and  we've  got  all  that  footage,  and  I  had  to  keep  going, (pause for 0.6s)  because  we  had  a  second  camera  at  the  end  of  this  setup,  and  I  had  to  meet  that.  So  I'm  trying  to  get  as  far  around  as  I  can,  and  shake  her,  hoping  they're  going  to  zoom  a  little  tighter  to  lose  her. (pause for 1.0s)  We  have  her,  she's  full  in,  she  ain't  in  a  movie,  but  she's  in  that  piece. (pause for 0.8s)  Then  of  course  I'm  walking  down  the  street  and  all  the  construction  workers  are  yelling,  hey,  Jerry, (pause for 0.6s)  and  all  works. (pause for 1.0s)  We  talked  about,  Marty  and  I  talked  about  if  there  was  going  to  be  so  much  street  stuff  in  New  York. (pause for 0.8s)  Let's  call  the  character  Jerry. (pause for 0.8s)  Now  there's  one  marvelous  moment  in  the  film  where  I'm  standing,  totally  alone  at  65th  of  Madison, (pause for 1.2s)  and  this  lady  walked  up, (pause for 0.5s)  and  she  looked  at  me, (pause for 1.5s)  and  she's  looking  at  the  traffic  lights,  and  she  looked  at  me  again, (pause for 0.7s)  and  looked  at  the  traffic  lights,  and  then  she  leaned  forward,  said,  Jerry  Lewis,  son  of  a  gun, (pause for 0.6s)  if  she'd  just  said  Jerry,  son  of  a  gun,  we'd  have  had  it,  and  we'd  have  kept  it,  but  she  put  the  name  together. (pause for 0.5s)  And  I  looked  at  her,  I  said,  son  of  a  bitch, (pause for 0.7s)  and  we  cut.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Jerry Lewis,JerryLewis1.wav," I  was  in  one  of  the  departments  finding  out  how  it  worked  and  why. (pause for 1.4s)  And  one  day,  in  answer  to  your  question,  one  day  I  was  really  gonna  throw  in  the  towel,  said,  I'll  just  make  the  funny  faces, (pause for 0.8s)  and  just  give  up  on  carrying  that  much  that  I'm  gonna  work  myself  into  my  grave, (pause for 0.5s)  and  have  people  then  attack  me  on  top  of  it  by  not  recognizing  the  reason. (pause for 0.9s)  And  a  very  dear  man,  a  marvelous  director,  Joe  Mankowitz, (pause for 0.6s)  who's  a  good  friend. (pause for 0.7s)  I  poured  my  heart  out  to  him  one  day,  and  I  said,  Joe,  I  don't  know  what  they  want  from  me,  but  what  kind  of  a  criminal  am  I,  because  I  choose  to  work  so  hard. (pause for 1.1s)  And  he  said, (pause for 0.9s)  Jerry,  I  don't  particularly  care  that  you  write  and  direct, (pause for 0.5s)  because  I  write  and  direct. (pause for 1.1s)  He  said,  I  think  you'll  find  those  that  are  obsessed  by  it  are  those  that  do  one  thing, (pause for 1.7s)  and  you  punctuate  the  fact  that  they  are  single  faceted, (pause for 0.6s)  and  they  don't  like  it. (pause for 0.6s)  He  said,  and  they  want  you  to  come  over  to  their  side,  if  they  can  knock  you  down,  then  they  have  one  less  to  be  concerned  with  that.  But  it  made  a  great  deal  of  sense  to  me. (pause for 0.5s)  It  made  me  feel  better  anyhow. (pause for 0.6s)  He  said,  the  people  that  do  what  you  do  will  not  attack  you  for  doing  what  you  do. (pause for 0.7s)  So  that's  those  that  either  choose  not  to  do  what  you  do,  or  are  angry  that  you  do,  in  fact,  do  it. (pause for 0.5s)  It  made  sense  to  me,  at  least  it  made  me  feel  better.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Harry Belafonte,HarryBelafonte_3.wav," consumed  by  racism,  consumed  by  the  greatest  single  fault  in  the  cultural  DNA  of  America. (pause for 1.0s)  I  realized  very  early  on  that  beyond  my  art  and  my  other  sets  of  platforms, (pause for 0.7s)  nothing  was  going  to  ever  remove  me  from  the  permanent  struggle  of  race  because  America, (pause for 0.7s)  in  the  beginning  they  killed  you  with  the  Cucleic's  clad, (pause for 0.6s)  now  they  have  cops  in  the  streets  of  New  York, (pause for 0.5s)  shooting  down  our  kids  with  impunity  and  Bobby  Kennedy  got  into  all  of  this.  He  became  a  force  without  the  king, (pause for 0.7s)  that  could  make  a  difference,  and  I  think  that  those  men  survived,  we'd  be  in  a  very  different  place, (pause for 1.1s)  but  they  didn't, (pause for 0.9s)  but  they  left  us  the  legacy  that's  in  yours, (pause for 0.6s)  and  I  would  be  as  part  of  that  legacy  for  the  day.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Harry Belafonte,HarryBelafonte_2.wav," I  would  say  that  for  those  of  us  who  have  for  a  long  time  been  focused  on  and  deeply  concerned  about  the  atrocities  that  take  place  in  South  Africa, (pause for 0.7s)  for  us  it  was  a  great  victory. (pause for 1.2s)  Beyond  the  fact  that  we  had  an  opportunity  as  artists  to  use  ourselves  as  eloquently  as  I  have  ever  seen  us  use  ourselves  in  the  service  of  the  humanity, (pause for 1.0s)  namely  the  hopes  and  the  aspirations  of  a  people  in  the  pursuit  of  their  freedom  and  their  human  rights. (pause for 1.0s)  It  gave  us  an  opportunity  to  give  people  who  have  been  frustrated  in  the  ability  to  express  the  concerns  about  what  going  in  South  Africa.  We  gave  them  a  platform. (pause for 1.4s)  The  60  stations  around  the  world  to  have  carried  this  broadcast, (pause for 0.9s)  the  72  to  80,000  people  to  have  been  in  as  testimony  to  the  fact  that  there  is  a  intense  global  consciousness  and  a  desire  on  the  part  of  many  people  to  see  this  abhorrent  system  end  and  the  people  of  South  Africa  achieve  their  rightful.","(pause, (pause, (pause, (pause, (pause, (pause"
Harry Belafonte,HarryBelafonte_1.wav," believe  that  because  a  man  is  black,  he's  right,  or  that  he  has  any  right  to  office  or  position  based  upon  his  color. (pause for 1.0s)  But  I  do  feel  very  strongly  about  the  fact  that  great  men  have  been  disenfranchised  for  a  long  time  and  have  not  been  able  to  sit  in  high  places  politically  or  on  other  levels  because  of  color.  But  this  has  had  great  psychological  ramifications,  not  only  for  the  Negro  community  who  has  had  many  reversals  over  the  last  couple  of  years  because  the  races  in  which  permeates  American  life  from  top  to  bottom  and  in  very  subtle  ways  and  in  very  aggressive,  obvious  ways. (pause for 2.9s)  The  Negro  has  paid  a  terrible  price  for  this.  But  somehow  you'll  find  that  racism  in  its  subtlest  and  its  most  evil  sense  has  worked  its  way  deep  into  the  fiber  of  the  hearts  and  minds  of  many  men  and  women. (pause for 1.0s)  And  with  this  going  on,  it  has  had  its  incredible  influence  on  my  own  life.  I  was  born  in  the  ghetto. (pause for 0.9s)  My  mother  was  a  domestic  worker.  My  father  was  a  seamen.  I  grew  up  in  Harlem.  I  grew  up  not  only  with  racism  and  segregation  in  America,  but  I  grew  up  in  the  West  Indies  under  colonialism. (pause for 0.7s)  My  aunts  and  uncles  and  my  grandparents  were  agriculturalists.  They  were  farmers. (pause for 1.2s)  And  I  saw  what  they  did  from  morning  and  tonight  and  what  their  rewards  were  under  the  might  of  British  exploitation. (pause for 1.1s)  Yet  I've  come  into  my  own  manhood  and  I've","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Warren Buffett,Warren Buffett_2.wav," money  in  every  game.  I  mean,  I  don't  know  what  Coco  beans  are  going  to  do. (pause for 0.8s)  I  don't,  you  know,  I,  there  are  all  kinds  of  things  I  don't  know  about.  And  that  may  be  too  bad,  but, (pause for 0.7s)  you  know,  why  should  I  know  all  about  them?  I  haven't  worked  that  hard  on  them.  In  securities  business,  you  literally  every  day  have  thousands  of  the  major  American  corporations  offered  you  at  a  price  and  a  price  that  changes  daily. (pause for 0.7s)  And  you  don't  have  to  make  any  decisions.  You  have  to  make,  that  nothing  is  forced  upon  you.  So  you,  there  are  no  called  strikes  in  the  business.  The  picture  just  stands  there  and  throws  balls  at  you. (pause for 0.9s)  And  if  you're  playing  real  baseball  and  it's  between  the  knees  and  the  shoulders,  you  either  swing  or  you  got  a  strike  call  on  you.  If  you  get  too  many  call,  I  knew  you're  out. (pause for 0.8s)  In  the  securities  business,  you  sit  there  and  they  throw  a  US  steel  at  25  and  they  throw  journal  motors  at  68  and  you  don't  have  to  swing  at  any  of  them.  They  may  be  wonderful  pitches  to  swing  at,  but  if  you  don't  know  enough,  you  don't  have  to  swing. (pause for 0.6s)  And  you  can  sit  there  and  watch  thousands  of  pitches  and  finally  you  get  one  right  there  where  you  want  to  something  that  you  understand  and  then  you  swing  and  the...","(pause, (pause, (pause, (pause, (pause, (pause"
Warren Buffett,WarrenBuffett_3.wav," No,  no,  the  banks  earn  on  assets.  They  don't  earn  on  net  worth. (pause for 1.5s)  You  calculate  it  eventually  as  to  what  they  earn  on  equity  or  net  worth.  But  assets  are  the  earning  factors.  And  they've  changed  the  rules  so  that  you  have  to  have  more  net  worth  per  dollar  of  assets.  And  obviously,  if  you  have  more  net  worth  per  dollar  of  assets  and  you're  earning  a  constant  amount  on  assets, (pause for 0.5s)  your  earnings  on  net  worth  go  down.  They  were  ungodly  profitable,  the  better  ones  were. (pause for 1.8s)  Back  15  years  ago,  or  10  years  ago  even, (pause for 0.6s)  when  they  had  high  ratios  of  assets  to  net  worth.  And  some  of  them  even  cheated  in  terms  of  having  even  more  assets  than  the  regulators  would  have  allowed.  And  you  had  these  SIVs,  as  they  were  called,  city  group  had  a  whole  bunch  of  them. (pause for 0.9s)  So  they  were  off  balance  sheet  ways  of  even  controlling  more  assets.  But  all  of  that  sort  of  thing  has  been  terminated.  And  now  they've  got  much  lower  limits  as  to  the  assets  to  net  worth  ratios.  And  the  bigger  the  bank,  to  some  extent,  the  bigger  the  bank,  the  lower  that  ratio  can  be.  So  what  was  a  very  profitable  business  has  been  turned  into  a  good  business  if  executed  well. (pause for 0.6s)  It's  a  pretty  simple  business.  I  mean,  if  you  get  your  money  cheap,  very  cheap, (pause for 0.6s)  well  as  far  ago,  we'll  have  a  trillion  dollars  roughly  or  close  to  that  of  depositors'  money.  And  it's  probably  costing  around  10  basis  points  now.","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
